Potential energy data
X 71 Y 71 
  -14802    -14920    -15056    -15204    -15360    -15518    -15676
  -15831    -15982    -16128    -16267    -16398    -16523    -16639
  -16748    -16850    -16944    -17032    -17112    -17187    -17256
  -17319    -17377    -17430    -17478    -17523    -17564    -17601
  -17635    -17666    -17694    -17720    -17743    -17765    -17784
  -17802    -17818    -17833    -17846    -17858    -17870    -17880
  -17889    -17897    -17905    -17911    -17918    -17923    -17928
  -17933
 
   -6576     -9525    -12634    -15000    -16543    -17388    -17696
  -17614    -17273    -16775    -16202    -15617    -15062    -14568
  -14151    -13817    -13568    -13397    -13297    -13257    -13267
  -13318    -13400    -13506    -13629    -13763    -13903    -14045
  -14188    -14328    -14465    -14596    -14721    -14840    -14952
  -15057    -15155    -15246    -15331    -15409    -15482    -15549
  -15610    -15667    -15719    -15767    -15810    -15850    -15887
  -15920    -15951    -15979    -16004    -16027    -16048    -16067
  -16085    -16101    -16115    -16128    -16140    -16151    -16161
  -16170    -16178    -16186    -16193    -16199    -16204    -16209
  -16214
 
   -5872     -9281    -12562    -14970    -16495    -17288    -17522
  -17352    -16910    -16304    -15617    -14914    -14243    -13634
  -13108    -12673    -12330    -12077    -11903    -11799    -11755
  -11759    -11801    -11874    -11968    -12079    -12199    -12325
  -12454    -12583    -12709    -12832    -12951    -13063    -13170
  -13271    -13365    -13454    -13536    -13612    -13683    -13748
  -13808    -13864    -13914    -13961    -14004    -14043    -14079
  -14112    -14142    -14169    -14194    -14217    -14238    -14257
  -14274    -14290    -14304    -14317    -14329    -14339    -14349
  -14358    -14366    -14373    -14380    -14386    -14392    -14397
  -14401
 
   -5230     -9078    -12513    -14957    -16463    -17206    -17369
  -17114    -16575    -15862    -15062    -14243    -13452    -12726
  -12086    -11544    -11103    -10759    -10506    -10332    -10227
  -10180    -10179    -10215    -10278    -10362    -10461    -10569
  -10683    -10799    -10915    -11030    -11141    -11247    -11349
  -11445    -11536    -11621    -11700    -11774    -11843    -11906
  -11965    -12019    -12069    -12115    -12157    -12195    -12231
  -12263    -12292    -12319    -12344    -12366    -12387    -12405
  -12422    -12438    -12452    -12465    -12476    -12487    -12497
  -12505    -12513    -12521    -12527    -12533    -12539    -12544
  -12548
 
   -4689     -8939    -12507    -14980    -16465    -17161    -17257
  -16921    -16291    -15477    -14568    -13634    -12726    -11882
  -11127    -10473     -9928     -9489     -9149     -8900     -8729
   -8625     -8576     -8571     -8600     -8656     -8731     -8820
   -8917     -9020     -9124     -9229     -9332     -9432     -9528
   -9620     -9706     -9788     -9865     -9936    -10003    -10065
  -10122    -10175    -10224    -10268    -10309    -10347    -10382
  -10414    -10443    -10469    -10493    -10515    -10536    -10554
  -10571    -10586    -10600    -10613    -10624    -10635    -10644
  -10653    -10661    -10668    -10674    -10680    -10686    -10691
  -10695
 
   -4268     -8874    -12554    -15047    -16512    -17162    -17197
  -16786    -16070    -15162    -14151    -13108    -12086    -11127
  -10255     -9490     -8837     -8298     -7867     -7536     -7294
   -7128     -7026     -6976     -6968     -6992     -7041     -7107
   -7187     -7274     -7367     -7461     -7555     -7648     -7738
   -7825     -7908     -7986     -8060     -8129     -8193     -8253
   -8309     -8360     -8408     -8452     -8492     -8529     -8563
   -8595     -8623     -8649     -8673     -8695     -8715     -8733
   -8749     -8765     -8778     -8791     -8802     -8813     -8822
   -8831     -8838     -8845     -8852     -8858     -8863     -8868
   -8872
 
   -3974     -8883    -12653    -15160    -16603    -17211    -17190
  -16712    -15918    -14923    -13817    -12673    -11544    -10473
   -9490     -8612     -7850     -7208     -6682     -6265     -5946
   -5713     -5553     -5454     -5404     -5393     -5413     -5456
   -5516     -5587     -5665     -5749     -5834     -5919     -6003
   -6084     -6162     -6237     -6307     -6374     -6436     -6494
   -6548     -6598     -6645     -6688     -6727     -6764     -6797
   -6828     -6856     -6882     -6905     -6927     -6946     -6964
   -6980     -6995     -7009     -7021     -7033     -7043     -7052
   -7061     -7068     -7075     -7082     -7088     -7093     -7098
   -7102
 
   -3800     -8960    -12800    -15315    -16736    -17306    -17234
  -16695    -15832    -14759    -13568    -12330    -11103     -9928
   -8837     -7850     -6982     -6236     -5612     -5104     -4704
